id,labelid,labelname,n_imgs
1,/m/0174k2,Washing machine,319
2,/m/01b7fy,Headphones,913
3,/m/01c648,Laptop,5056
4,/m/01m2v,Computer keyboard,2692
5,/m/024d2,Calculator,199
6,/m/02522,Computer monitor,2527
7,/m/029bxz,Oven,466
8,/m/02pjr4,Blender,149
9,/m/040b_t,Refrigerator,506
10,/m/050k8,Mobile phone,3570
11,/m/063rgb,Mixer,198
12,/m/07c52,Television,2280
13,/m/07xyvk,Coffeemaker,255
14,/m/0dv5r,Camera,4185
15,/m/0fx9l,Microwave oven,431
16,/m/0h8mzrc,Wall clock,798
17,/m/0llzx,Sewing machine,365
